Bairstow Method
_________________________________________________________________________________

Itr.   p            q            error                       Root
---------------------------------------------------------------------------------
1    1.833333    -5.500000     ----        -0.916667+2.517991, -0.916667-2.517991

2    2.979024    -0.039904      5.460096    -1.489512+1.502847, -1.489512-1.502847

3    3.635325    1.900750      1.940654    -1.817662+1.184545, -1.817662-1.184545

4    3.064841    0.193240      1.707511    -1.532421+1.468017, -1.532421-1.468017

5    3.462018    1.386231      1.192992    -1.731009+1.268921, -1.731009-1.268921

6    3.326207    0.978632      0.407599    -1.663104+1.336893, -1.663104-1.336893

7    3.333341    1.000023      0.021391    -1.666671+1.333330, -1.666671-1.333330

8    3.333333    1.000000      0.000023    -1.666667+1.333333, -1.666667-1.333333

9    3.333333    1.000000      0.000000    -1.666667+1.333333, -1.666667-1.333333

The Roots are :-1.666667+1.333333, -1.666667-1.333333
