	Modified Euler Method

         x  y(approx)   y(exact)      error
-----------------------------------------------------
  0.100000   0.547500   0.547415   0.000085
  0.200000   0.589487   0.589299   0.000189
  0.300000   0.625384   0.625071   0.000313
  0.400000   0.654549   0.654088   0.000461
  0.500000   0.676277   0.675639   0.000637
  0.600000   0.689786   0.688941   0.000845
  0.700000   0.694213   0.693124   0.001089
  0.800000   0.688605   0.687230   0.001376
  0.900000   0.671909   0.670198   0.001711
  1.000000   0.642959   0.640859   0.002101
